025CARTRIDGE,5.56 MILLIMETER1305-AA01Armor Piercing, M995, 200 RD belts w/M27 links, f/M249 SAW MG|A1305AA01
014FLARE,AIRCRAFT1370-L420Parachute, MK24 Mod 4, Assembled w/Drogue Trays|A1370L420
014FLARE,AIRCRAFT1370-L421Parachute, MK24 Mod 4, Inert, Assembled w/Drogue Trays|A1370L421
014FLARE,AIRCRAFT1370-L423Parachute, MK45 Mod 0, w/Drogue Tray Plastic Lanyard Guards and Shear Pins|A1370L423
014FLARE,AIRCRAFT1370-L424Parachute, MK45 Mod 0, w/Adapter, f/Dispenser Flare XM19|A1370L424
013FLARE,SURFACE1370-L425Airport, M76|A1370L425
014FLARE,AIRCRAFT1370-L426Parachute, MK45 Mod 0, w/Drogue Tray, Plastic Lanyard Guards and Shear Pins, Modified, AWC NO. 67|A1370L426
014FLARE,AIRCRAFT1370-L427Parachute, MK45 Mod 0, w/o Drogue Tray Modified, AWC NO. 67|A1370L427
014FLARE,AIRCRAFT1370-L429Float, w/o Suspension Bands, MJU-7/B |A1370L429
020DUMMY FLARE,AIRCRAFT1370-L431Parachute, LUU-2B(D-1)/B|A1370L431
020DUMMY FLARE,AIRCRAFT1370-L432Parachute, LUU-2A (D-1) 1B|A1370L432
014FLARE,AIRCRAFT1370-L433Infrared, MJU-7/C|A1370L433
014FLARE,AIRCRAFT1370-L4342 SEC Burn Time, Central Technology, INC, P/N 22-515-3120-1-2|A1370L434
014FLARE,AIRCRAFT1370-L440Parachute, LUU-2B/B, w/o Suspension Bands, w/Lanyard Kit|A1370L440
014FLARE,AIRCRAFT1370-L441Parachute, LUU-2B/B w/Drogue Tray, f/SUU-RR|A1370L441
014FLARE,AIRCRAFT1370-L442Parachute, LUU-2B/B, w/Adapter and Arming Kit, f/SUU-25|A1370L442
014FLARE,AIRCRAFT1370-L443Parachute, LUU-4/B|A1370L443
014FLARE,AIRCRAFT1370-L444LUU-4(D-1)/B|A1370L444
039SIMULATOR,FLARE,INFRARED,COUNTERMEASURE1370-L445RR-119|A1370L445
039SIMULATOR,FLARE,INFRARED,COUNTERMEASURE1370-L446Simulates MJU-2/B flare for training purposes, creates a smoke plume, f/Photoflash cartridge ejection pack|A1370L446
039SIMULATOR,FLARE,INFRARED,COUNTERMEASURE1370-L447Simulates MJU-7B flare for training purposes, creates a smoke plume, Space Ordnance Systems, f/ALE-40 Dispenser|A1370L447
039SIMULATOR,FLARE,INFRARED,COUNTERMEASURE1370-L448Simulates M206IR flare for training purposes, creates a smoke plume, f/ALE-40 Dispenser|A1370L448
020DUMMY FLARE,AIRCRAFT1370-L449Inert, Kilgore CORP, P/N 8766186, f/AN/ALE-45 Countermeasure Dispenser System|A1370L449
013FLARE,SURFACE1370-L450High Altitude, Parachute, MK20 and Mods|A1370L450
013FLARE,SURFACE1370-L451MK132 Mod 0|A1370L451
020DUMMY FLARE,AIRCRAFT1370-L452MK24 Mods|A1370L452
039SIMULATOR,FLARE,INFRARED,COUNTERMEASURE1370-L453Simulates MJU-10/B Flare, f/ALE-45 Dispenser|A1370L453
039SIMULATOR,FLARE,INFRARED,COUNTERMEASURE1370-L454Inert, MJU-7(D-1)/B, Similar to MJU-7A/B|A1370L454
021IGNITER,RAMJET ENGINE1370-L45845 Sec Burning Time, Pelmec DIV of Quantic Industries INC P/N 1057-02|A1370L458
014FLARE,AIRCRAFT1370-L460MLU-32/B99 and MLU-32A/B99, Briteye|A1370L460
014FLARE,AIRCRAFT1370-L461Guide, Kilgore CORP, P/N 8766185, f/AN/ALE-45 Countermeasure Dispenser System|A1370L461
029FLARE,INFRARED,COUNTERMEASURE1370-L462Infrared, 10.530 IN. LG, c/o Magnesium Teflon Pallet and Impulse CTG Tracer, MBA, P/N 114700-600, f/MJU-23/B|A1370L462
014FLARE,AIRCRAFT1370-L463Infrared, Serves as Protection from Heat Seeking Threats; P/N 8856664, f/F-16, F-111, F-4|A1370L463
014FLARE,AIRCRAFT1370-L473Parachute, MK45 Mod 0, w/o Drogue Tray|A1370L473
029FLARE,BALLISTIC AERIAL TARGET1370-L477MK33 Mod 0|A1370L477
020FLARE,GUIDED MISSILE1370-L478TAU-56B, 80 to 100 SEC Burning Time|A1370L478
020FLARE,GUIDED MISSILE1370-L488MK21 Mod 0, Parasite Tracking|A1370L488
020FLARE,GUIDED MISSILE1370-L489MK22 Mod 0, Sparrow III|A1370L489
020FLARE,GUIDED MISSILE1370-L491MK27 Mod 0, Parasite, Bullpup ASM-N-7A|A1370L491
013FLARE,SURFACE1370-L493Trip, Wire, MK1|A1370L493
013FLARE,SURFACE1370-L494Trip, Parachute, M48|A1370L494
013FLARE,SURFACE1370-L495Trip, Parachute, M49 Series|A1370L495
013FLARE,SURFACE1370-L496Trip, Parachute, M48, Inert|A1370L496
022FLARE,SURFACE,PRACTICE1370-L497Trip, M49 Series|A1370L497
017PRIMER,PERCUSSION1370-L498w/Holder, f/Sub-Caliber Adapter, 84MM, FFV553B|A1370L498
015FUSEE,SIGNALING1370-L507Red, 15 MIN|A1370L507
015FUSEE,SIGNALING1370-L508Red, 20 MIN|A1370L508
029SIGNAL KIT,PERSONNEL DISTRESS1370-L5184 ea. of (1) SIGNAL, ILLUMINATION, MARINE MK2 Mod 0 white, (2) MK2 Mod 0 red, and (3) MK2 Mod 0 green plus PROJECTOR, PYROTECHNIC, HAND MK4.|A1370L518
029SIGNAL,SMOKE AND ILLUMINATION1370-L524Aircraft, SDU-28/A, f/MQM 74A Target Drone|A1370L524
029SIGNAL,SMOKE AND ILLUMINATION1370-L525Aircraft, MK6 and Mods, Float Light|A1370L525
029SIGNAL,SMOKE AND ILLUMINATION1370-L526Aircraft, MK7 and Mods|A1370L526
029SIGNAL,SMOKE AND ILLUMINATION1370-L527Marine, MK39 Mod 0, Green|A1370L527
029SIGNAL,SMOKE AND ILLUMINATION1370-L528Marine, MK25 Mod 2, White|A1370L528
015FUSEE,SIGNALING1370-L535Blue, Navy, MK1|A1370L535
015FUSEE,SIGNALING1370-L536Red, Navy|A1370L536
023FLARE,AIRCRAFT,PRACTICE1370-L540SM-875/ALE, NAVAIR DWG 3176AS100|A1370L540
019SIGNAL,ILLUMINATION1370-L541MARINE, Green, Very Signal, MK2 and Mods|A1370L541
019SIGNAL,ILLUMINATION1370-L542Marine, Red, Very Signal, MK2 and Mods|A1370L542
019SIGNAL,ILLUMINATION1370-L543Marine, White, Very Signal, MK2 AND Mods|A1370L543
022MARKER,LOCATION,MARINE1370-L553MK25 Mod 4|A1370L553
022MARKER,LOCATION,MARINE1370-L554MK25 Mod 2 and 3|A1370L554
022MARKER,LOCATION,MARINE1370-L555Slick Marker, MK1 and Mods|A1370L555
022MARKER,LOCATION,MARINE1370-L556Green, Uranine|A1370L556
022MARKER,LOCATION,MARINE1370-L557Red, Rhodamine|A1370L557
022MARKER,LOCATION,MARINE1370-L558MK25 Mod 4, Inert Loaded w/Gypsum Plaster|A1370L558
022MARKER,LOCATION,MARINE1370-L560MK1 Mod 2, Depth Charge, Day, Green|A1370L560
022MARKER,LOCATION,MARINE1370-L561MK1 Mod 3, Depth Charge, Day, Yellow|A1370L561
022MARKER,LOCATION,MARINE1370-L562LUU-10(D-1)/B|A1370L562
029SIGNAL KIT,PERSONNEL DISTRESS1370-L563MK188 Mod 0, NAVSEA P/N 6869830|A1370L563
029SIGNAL KIT,PERSONNEL DISTRESS1370-L564MK189 Mod 0, NAVSEA P/N 6869830|A1370L564
022MARKER,LOCATION,MARINE1370-L565MK2 and Mods, Depth Charge, Night|A1370L565
022MARKER,LOCATION,MARINE1370-L568MK28 Mod 0, w/Green Dye (Submarine)|A1370L568
022MARKER,LOCATION,MARINE1370-L571MK8 Mod 0|A1370L571
022MARKER,LOCATION,MARINE1370-L578MK26 Mod 0|A1370L578
022MARKER,LOCATION,MARINE1370-L579MK27 Mod 0|A1370L579
022MARKER,LOCATION,MARINE1370-L580White Smoke,MK58, Mod 1|A1370L580
022MARKER,LOCATION,MARINE1370-L582AN-M59, Slick Marker|A1370L582
022MARKER,LOCATION,MARINE1370-L584MK38 Mod 1|A1370L584
022MARKER,LOCATION,MARINE1370-L585MK58 Mod 0|A1370L585
022MARKER,LOCATION,MARINE1370-L586MK76 Mod 0, Red Smoke (Submarine)|A1370L586
022MARKER,LOCATION,MARINE1370-L587MK75 Mod 0, White Smoke, Yellow Flame (Submarine)|A1370L587
022MARKER,LOCATION,MARINE1370-L588MK77 Mod 0, Yellow Smoke (Submarine)|A1370L588
022MARKER,LOCATION,MARINE1370-L589MK78 Mod 0, Green Smoke (Submarine)|A1370L589
022MARKER,LOCATION,MARINE1370-L590MK79 Mod 0, Black Smoke (Submarine)|A1370L590
022MARKER,LOCATION,MARINE1370-L591MK80 Mod 0, Yellow-Green Fluorescent Slick (Submarine)|A1370L591
054SIMULATOR,LAUNCHING,ANTITANK GUIDED MISSILE AND ROCKET1370-L592TOW|A1370L592
033SIMULATOR,PROJECTILE GROUND BURST1370-L594M115A2|A1370L594
037SIMULATOR,PROJECTILE AIR BURST,LIQUID1370-L595XM9|A1370L595
025SIMULATOR,FLASH,ARTILLERY1370-L596M110, w/Igniter|A1370L596
030SIMULATOR,EXPLOSIVE BOOBY TRAP1370-L598M117, Flash|A1370L598
030SIMULATOR,EXPLOSIVE BOOBY TRAP1370-L599M118, ILLUM|A1370L599
030SIMULATOR,EXPLOSIVE BOOBY TRAP1370-L600M119, Whistling|A1370L600
022SIMULATOR,HAND GRENADE1370-L601M116A1 and M116E2|A1370L601
025SIMULATOR,FLASH,ARTILLERY1370-L602M21 Series|A1370L602
025SIMULATOR,FLASH,ARTILLERY1370-L603MTG XM24/M24, Main Tank Gun|A1370L603
026SIMULATOR,ATOMIC EXPLOSION1370-L605M142|A1370L605
022SIMULATOR,HAND GRENADE1370-L610Modified M116A1, w/1-2 SEC. Delay Fuze|A1370L610
019SIMULATOR,BACKBLAST1370-L612f/Sub Caliber Adapter, 84MM, FFV553B|A1370L612
012STARTER,FIRE1370-L621M2, NP Series|A1370L621
012STARTER,FIRE1370-L624AMMO L624 CANCELLED ON 123114 20 MIN Fusee, Hand Held, Scratch Cap Igniter                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |C1370L624
012STARTER,FIRE1370-L6253 MIN Fusee, Hand Held, Scratch Cap Igniter|A1370L625
037SIMULATOR,PROJECTILE AIR BURST,LIQUID1370-L630XM11|A1370L630
020FLARE,TARGET MARKING1370-L660LUU-1/B|A1370L660
020FLARE,TARGET MARKING1370-L661LUU-5/B|A1370L661
020FLARE,TARGET MARKING1370-L662ILLUM, Red, 30 MIN Burning Time, LUU-1/B|A1370L662
020SIMULATOR,TARGET HIT1370-L709XM25/M25|A1370L709
017SIMULATOR,MISSILE1370-L715AMMO L715 REINSTATED ON 122806XM27/M27|A1370L715
021SIMULATOR,TARGET KILL1370-L720XM26/M26|A1370L720
015ADAPTER,PRIMING1375-DWBHIdentical to 1375-MN74. Label new items 1375-MN74. Use 1375-DWBH items until gone. Model MK171, hexagonal shaped device, with threading to receive nonelectric detonators or electric blasting caps, and pyrotechnic lead of nonelectric detonator.|A1375DWBH
015ADAPTER,PRIMING1375-DWBJModel MK173, cylindrical shaped device with threading to connect to M60/T2 fuze igniter and pyrotechnic lead initiator|A1375DWBJ
020DETONATOR,PERCUSSION1375-DWCNDetonator trunkline, MK149, series of thirty blasting caps attached to shock tube, then connected and placed on a spool.|A1375DWCN
017CHARGE,DEMOLITION1375-DWDNCharge, Lightweight Disposable Disrupter (LIDD) MK 171 MOD 0. It consists of a prepackaged energetic tool and an emplacement stand.|A1375DWDN
016LEAD,PYROTECHNIC1375-DWEIMK34 Mod 0; does not include blasting cap|A1375DWEI
014SQUIB,ELECTRIC1375-JM94MK20 MOD 1, DWG/PART/REF:  6915110, CAGE:  53711|A1375JM94
024FIRING DEVICE,DEMOLITION1375-ML02XM122|A1375ML02
024FIRING DEVICE,DEMOLITION1375-ML03Multipurpose, XM142|A1375ML03
021CUTTER,HIGH EXPLOSIVE1375-ML04MK23 Mod 0|A1375ML04
021CUTTER,HIGH EXPLOSIVE1375-ML05MK24 Mod 0|A1375ML05
028FIRING DEVICE SET,DEMOLITION1375-ML06MARK 186 MOD 0 (Radio)|A1375ML06
012CAP,BLASTING1375-ML07Electric, Shielded, 14 GR PETN, Hercules INC. P/N D215A0, NAEC DWG NO. 615093-1|A1375ML07
017CHARGE,DEMOLITION1375-ML09Shaped, Flexible, LINEAR, W/20 GR CH-6 Per FT|A1375ML09
017CHARGE,DEMOLITION1375-ML10Shaped, Flexible, Linear, w/30 GR CH-6 Per FT|A1375ML10
017CHARGE,DEMOLITION1375-ML11Shaped, Flexible, Linear, w/40 GR CH-6 Per FT|A1375ML11
017CHARGE,DEMOLITION1375-ML12Shaped, Flexible, Linear, w/60 GR CH-6 Per FT|A1375ML12
017CHARGE,DEMOLITION1375-ML13Shaped, Flexible, Linear, w/75 GR CH-6 Per FT|A1375ML13
017CHARGE,DEMOLITION1375-ML14Shaped, Flexible, Linear, w/125 GR CH-6 Per FT|A1375ML14
017CHARGE,DEMOLITION1375-ML15Shaped, Flexible, Linear, w/225 GR CH-6 Per FT|A1375ML15
017CHARGE,DEMOLITION1375-ML16Shaped, Flexible, Linear, w/300 GR CH-6 Per FT|A1375ML16
017CHARGE,DEMOLITION1375-ML17Shaped, Flexible, Linear, w/400 GR CH-6 Per FT|A1375ML17
017CHARGE,DEMOLITION1375-ML18Shaped, Flexible, Linear, w/500 GR CH-6 Per FT|A1375ML18
017CHARGE,DEMOLITION1375-ML19Shaped, Flexible, Linear, w/600 GR CH-6 Per FT|A1375ML19
016BLASTING MACHINE1375-ML20Key Operated, 50 Cap Capacity|A1375ML20
028FIRING DEVICE SET,DEMOLITION1375-ML21RF/Acoustic (SWS), MK46 Mod 0|A1375ML21
012CAP,BLASTING1375-ML23Exploding Bridge Wire, w/6 FT Leg Wires|A1375ML23
017CHARGE,DEMOLITION1375-ML25HE, Linear, M59, w/Fuze, Electric, M1134A1|A1375ML25
026CHARGE,DEMOLITION,PRACTICE1375-ML26Linear, M69, w/Fuze, Practice Electric, M1147|A1375ML26
020DETONATOR,PERCUSSION1375-ML27MK53, f/DC MK9 and Mods|A1375ML27
015DETONATOR,FLASH1375-ML28f/Antipersonnel Mine, M16A2|A1375ML28
015DETONATOR,FLASH1375-ML30M86|A1375ML30
017PRIMER,PERCUSSION1375-ML32M27|A1375ML32
028FUZE,DEMOLITION KIT,TRAINING1375-ML36M1147|A1375ML36
017CHARGE,DEMOLITION1375-ML38Pershing II|A1375ML38
020DETONATOR,PERCUSSION1375-ML39w/Delay, f/CBU-55/B, 55A/B, 72/B|A1375ML39
026CHARGE,DEMOLITION,PRACTICE1375-ML40Block, Inert, M4, 0.50LB|A1375ML40
021CUTTER,HIGH EXPLOSIVE1375-ML41MK25 Mod 0|A1375ML41
017PRIMER,PERCUSSION1375-ML43MK125 Mod 1|A1375ML43
028FIRING DEVICE SET,DEMOLITION1375-ML44MK45 Mod 1|A1375ML44
019HOLDER,BLASTING CAP1375-ML45f/BLASTING CAP and SHOCK TUBE, XM9/M9|A1375ML45
039DOCUMENT DESTROYER,EMERGENCY,INCENDIARY1375-ML46MK1 Mod 1|A1375ML46
012CAP,BLASTING1375-ML47Non-Electric, 30 Foot Shock Tube, XM11/M11|A1375ML47
017CHARGE,SHOCK TEST1375-ML48Filled w/HBX-1|A1375ML48
024FIRING DEVICE,DEMOLITION1375-ML64MK45 Mod 1|A1375ML64
020DETONATOR,PERCUSSION1375-ML65175 Millisecond Delay, Orange Color, w/Non-electric Type Plastic Cap|A1375ML65
019FUZE,DEMOLITION KIT1375-ML82M1134, f/Charge Demolition HE Linear M58|A1375ML82
012CAP,BLASTING1375-ML83MK11 Mod 0|A1375ML83
039DOCUMENT DESTROYER,EMERGENCY,INCENDIARY1375-ML85MK1 Mod 0|A1375ML85
017PRIMER,PERCUSSION1375-ML86M29A1|A1375ML86
017PRIMER,PERCUSSION1375-ML87M26|A1375ML87
014DETONATOR,STAB1375-ML90MK43 MOD 1; COMPONENT OF FUZE MK339; F/ROCKEYE AND FUZE|A1375ML90
010TILE,ARMOR1375-ML91XM2/M2 f/Tank|A1375ML91
010TILE,ARMOR1375-ML92XM1/M1 f/Tank|A1375ML92
010TILE,ARMOR1375-ML93XM3/M3, f/Infantry and Calvary Fighting Vehicle System|A1375ML93
010TILE,ARMOR1375-ML94XM4/M4, f/Infantry and Calvary Fighting Vehicle System|A1375ML94
010TILE,ARMOR1375-ML95XM5/M5 Series, f/Infantry and Calvary Fighting Vehicle System|A1375ML95
020PARTS KIT,TILE,ARMOR1375-ML96f/M1 Tile and Tank M60A3|A1375ML96
020PARTS KIT,TILE,ARMOR1375-ML97f/M2 Tile and Tank M60A3|A1375ML97
010TILE,ARMOR1375-ML98XM6/M6 Series, f/Infantry and Calvary Fighting Vehicle System|A1375ML98
010TILE,ARMOR1375-ML99XM7/M7 Series, f/Infantry and Calvary Fighting Vehicle System|A1375ML99
038MUNITION,SELECTABLE LIGHTWEIGHT ATTACK1375-MM15XM2|A1375MM15
026MUNITION,ATTACK,DEMOLITION1375-MM16XM3|A1375MM16
017CHARGE,DEMOLITION1375-MM20Explosive Sheet, Flexible, .083 IN. THK, 37.333 FT in LG|A1375MM20
017CHARGE,DEMOLITION1375-MM21Explosive Sheet, Flexible, .125 IN. THK, 24.600 FT in LG|A1375MM21
017CHARGE,DEMOLITION1375-MM22Explosive Sheet, Flexible, .166 IN. THK, 18.100 FT in LG|A1375MM22
017CHARGE,DEMOLITION1375-MM23Explosive Sheet, Flexible, .083 IN. THK, 37.333 FT in LG|A1375MM23
017CHARGE,DEMOLITION1375-MM24MK142 Mod 0, Flexible Linear Shaped, 600 GR/FT|A1375MM24
017CHARGE,DEMOLITION1375-MM25HE, Linear, COMP C4, M58A5, w/Fuze Electric M1134A3, w/Cartridge Actuated Cutter TCU-4/E, w/2 Strands of DET Cord and Harness Connector|A1375MM25
017CHARGE,DEMOLITION1375-MM2620 GM PETN Pellet Explosive Tube (Navy Charge)|A1375MM26
017CHARGE,DEMOLITION1375-MM27Explosive Sheet (DETA Sheet), 2 GM per SQ IN.|A1375MM27
017CHARGE,DEMOLITION1375-MM28Explosive Sheet (DETA Sheet), 3 GM per SQ IN.|A1375MM28
017CHARGE,DEMOLITION1375-MM29Explosive Sheet (DETA Sheet), 4 GM per SQ IN.|A1375MM29
017CHARGE,DEMOLITION1375-MM30Flexible, Tubular, MK 140 Mod 0|A1375MM30
017CHARGE,DEMOLITION1375-MM31Shaped, Flexible, Linear, Lead Sheathed, 25 GR RDX per FT|A1375MM31
017CHARGE,DEMOLITION1375-MM32Shaped, Flexible, Linear, Lead Sheathed, 40 GR RDX per FT|A1375MM32
017CHARGE,DEMOLITION1375-MM33Shaped, Flexible, Linear, Lead Sheathed, 60 GR RDX per FT|A1375MM33
017CHARGE,DEMOLITION1375-MM34Shaped, Flexible, Linear, Lead Sheathed, 75 GR RDX per FT|A1375MM34
017CHARGE,DEMOLITION1375-MM35Shaped, Flexible, Linear, Lead Sheathed, 100 GR RDX per FT|A1375MM35
017CHARGE,DEMOLITION1375-MM36Shaped, Flexible, Linear, Lead Sheathed, 150 GR RDX per FT|A1375MM36
017CHARGE,DEMOLITION1375-MM37Shaped, Flexible, Linear, Lead Sheathed, 200 GR RDX per FT|A1375MM37
017CHARGE,DEMOLITION1375-MM38Shaped, Flexible, Linear, Lead Sheathed, 225 GR RDX per FT|A1375MM38
017CHARGE,DEMOLITION1375-MM39Shaped, Flexible, Linear, Lead Sheathed, 400 GR RDX per FT|A1375MM39
017CHARGE,DEMOLITION1375-MM40Shaped, Flexible, Linear, Lead Sheathed, 600 GR RDX per FT|A1375MM40
